,epid,name,link,price,rating,num_ratings,watcher,shipping,free_return,open_box,pre_owned,refurbished,benefits_charity,last_one,sold,early_sold,later_sold
0,24033837546,GK806 Wire Gaming Keyboard and Mouse Combo Backlit 104Key with Wrist Rest for PC,https://www.ebay.com/itm/GK806-Wire-Gaming-Keyboard-and-Mouse-Combo-Backlit-104Key-with-Wrist-Rest-for-PC/163816124643?epid=24033837546&_trkparms=ispr%3D1&hash=item262433b0e3:g:nVIAAOSwfDldUgpZ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5v%2BLuFmfO5Yhlr2jgQnHj9j3NiJM%2Bty%2BXm9hn7OziLnMdW1spnxbjdZgnGTZ0D5aFxPSjcnVev8CbS127u2Wjv4sT2p%2BVPyFiJXmVa%2BQCQL5BviJIoXeCGcT%2BMgZdrwaiMaEv6KTczVNdh%2BKZRB5MLe0M683ircafm00qgw5yAX3fEKOBhQJovViTDs%2BKnk6vzt355bZjptIzyCaZtpyihhkk9ccUjuIcSElHQtU3vtweJytbXXuXn1BJcQSwltiO0tiihIV%2Fo1MlxMurdKx6Pm%2Fn55ZcIopAmU1y8toOp2kdfaWAFC0wShKzYji6edz7m3XtcgTHuhqFZN9DPi0ahvUnuxxXHM7dlZJasLB8JdzE4KQHHPVTeLdlIGOawz4TYW7Hf%2BdwkaeZ8DlhCxcr7ZfKgmNtRA9rBO7JqpxsOEzHUzu7vDvevNEqwXGeFSbWjyZwCV0BQy7G7Me40n7xYhEmByTxREyJOrK9BueaZIgEY1cQuUM0vqDtsdj3DvOYYPftdYogmLkU%2FZ96rH8Ic04qYigLksLJDDBBmhvkzAW5fgeQc6Ah%2Fco8HihmLkhd07uQi09AjWNfNPpctLtb5tnxaL3NpreCCXryyKqZ86h5y%2FIR8iHUyRKE6D6x7AsXyOFV95E8mTzpEyQSlra3jy73qVzkvFx8umQhrBJHmD%2Fg5X63vCsYoU0c6u%2BNQA7CsjkA8xugT1hfX1hHxNNCAariyTze7p3lfT9IVMPundG&checksum=163816124643aeda62f0c3c44a7fa2a68ef846d06251,29.98,4.5,4,0,0,0,0,0,0,0,0,238,238,0
1,, iClever 2.4G Portable Wireless Keyboard and Mouse Combo Rose Gold/Black/Silver,https://www.ebay.com/itm/iClever-2-4G-Portable-Wireless-Keyboard-and-Mouse-Combo-Rose-Gold-Black-Silver/143489808963?_trkparms=ispr%3D1&hash=item2168a8ba43:g:nj4AAOSwf9teDZZt&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickk7d4nremBkvNKtcC0ZwqXDFA1VWwHGQx2b4yzQSoKSE0A5Hh53lPaop86xB05z%2FBQOCIoSK6aOuBmNuoq0BQ0c5CpN99iRei9JhTRLq2ZZ3JT9oxJpF2usMdoOByhOmWvWybkhQssgn5d%2Ffy03GZN9y6qvUe0gr%2Blm%2BsfQZSZ8W62ohV5Ot7ZtnZhp5JwCD%2FkrWQtVCODO2uKv62ZMSquqX4lJigXRLtCUicovza3Tf7HhEKEPHD6I9WuwXdVoFKzU1ZPV3WkgAXOR6n%2Fix70WHg3J3iAkVn8a0VG7sy6%2FPK5KU1Cn4i6CnrKUXYfi8X5Z9%2Bmtja00valgdm4bli%2BqkpVdu5zrAd07AujCf1vITgYU1mPi%2FCUwVGi7wRUhQeb3sccfw4PS%2Fva52THOxxBNyvlDW%2FIKVzNs14FOkc6WTJQbmwjY3qUSP5WHMDEO5ZeU8VMY5V19pq1s4VCy1oH6GVJwrx4EJ5neCIFDOXzklhX8oiISk89b1uaOGc7XJS%2FkiujcW0Rogc0naLmvdN8TjAfrRuL7lbxDpAuidg7c5nKL1REUCaQaWNJXgCD6jtYmr1JZI%2FtUyiFF1QntGXnlvJfNrFq4QookYMlBS1KdSEpJdb6IU60sq8oGtM649O%2BKxRTMPSn8I5WPoM0a0NhGFCgbTmjZ6MCob4qpu%2FVZ4KObs2EZv6GZfV%2FFhNL%2FfVURD7movprJIQy%2F02%2B9erZHoZJ1bTn8TO0h7nBg5LanBuXrghW0b7t7n%2F2uY%2BOivGB&checksum=143489808963aeda62f0c3c44a7fa2a68ef846d06251,20.99,,0,0,0,0,0,0,0,0,0,550,533,550
2,,3-Colors Backlit USB Wired Gaming Keyboard Multimedia for Laptop PC,https://www.ebay.com/itm/3-Colors-Backlit-USB-Wired-Gaming-Keyboard-Multimedia-for-Laptop-PC/352821308059?_trkparms=ispr%3D1&hash=item5225c9ea9b:g:VH0AAOSwVOte4dqf&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkWpEuxXwAiCNKyBQsQ5%2Fe6x6SAHIZEWYRvnnPwxy8xsiJun75yuHqr84ELOqhFplPPf1cYzYsYeXcE3YIr%2BCN5IOJ2Fgtz%2FiBvYbZ66dtkOIJwjliCi24BhdRlQcXXablHejQp7w1oxRpwE7sdHB9ZacieaMW01lU8KyMcM%2BN2O%2F6c9%2BymB%2B%2BB4rbYyn4nFsXM7NqBwl8A94WHfT%2F46rcU7lzNdv%2FXBYeYLch%2BifsLe5g6go2%2FCKTOKbpGNe47QbnzEFFOl8glitaLFemMC2yw2ItCf5v28xZFpepLmGrZMkpOz3DL3TSuehion9vOTWEtll1Mc2urzdj9IAr6%2BCmFjuCM6PxONUUwdVo9cJFqf59bIFIV%2B848l6mAyeKfcPk9qLmWfVlma8hBrVGnC2cnyRdfVDBbsbLGZhqKLgWYCM2a3eBTzA6629SAtDMUSXufvMvuQLQES%2Fax846w935zBGudzFilhxX5wyVX2sHCUCrbiCDVNmLF2S1UiE6p7xJkS9hkK6xgDpdSbh%2BzjytCjw0Qh7p8R85Qbwl%2FmweQZAngECVIo0ZFtx%2BHCcfVdh3M8CZ9aBBl4DTP7FNgp%2BWTfOAl70T6Fg7gT7ODlGQ4RCY%2FPs37q5Je0%2B8gM4wPxh7hhNSY3AQisxKEMoVrN%2Fh7bHd543Dw%2BNHvjiHh3Hjqdm5OSRdEAsXM2o3Sy6Fzmz7Y5imhLe4Q2dEqURl8LMyd4zSt%2BkmeTf5rAEY1k5kRjQdAZv3QPjQEfqkXopNau3d&checksum=352821308059aeda62f0c3c44a7fa2a68ef846d06251,16.99,,0,0,0,1,0,0,0,0,0,219,217,219
3,25026719178,Apple Magic Keyboard 2 (MLA22LL/A) Rechargeable/Wireless,https://www.ebay.com/itm/Apple-Magic-Keyboard-2-MLA22LL-A-Rechargeable-Wireless/164256655619?epid=25026719178&_trkparms=ispr%3D1&hash=item263e75a903:g:1dMAAOSwP8leTkXE&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5htLfROb1qycJe8nNAwMNImMbVu7N%2FHaeHsGkDXaa9ZD81Bw3sZ4SmvaBhdbk7%2FBLomhIoZOQ5OXfMP2KVnOvOrUNBZ7cEvYOquP4F7xseiuGU2gOCItba%2FY5YjDjO7SZJkoEvRkDI9yD91xxVI0i6RobsikyQfXhb2OfXWB76h5S3Ugtsi2UB%2BCFwBni9FSghSzMySlaDCfa9jDZUhSsqNSWI8h%2BzEg9nHOQRtwoPfhq3vnXUlYv4263XVVDYMMVn6etNQoXegEzkyV35HwMLZvdWNh92%2Frokv%2Fx9nbwKbqYcDFKNsXswhPApFaZRwsQ0tKWJ%2BCX8kYHXWApeqA5wlJfIkqKF4u8zPpwyCUabeQGxoltP7njPUEstjz7tLA3b4q11VbWFMo5Gw%2FcgSJpIcsrZPPcQVbcuG0B44a1O4h51NGcXnQKXG9FwnrY2MvfuOZ5nkzud2iiFAwuMhyVEyw100P%2BkkGyNWBzV08JYNzseg0JuPf0OZ8QZfzaYhF9t1MXDRDqHLg07EdsCmmXNP%2BeC%2Fb%2Bd5G7lPbMsXTNZpQ9V5367SPLE87uiwb4PaCIwj69J593k5sbcTHyAXsnUb9R3A1cS9TkgGQzgh1JU%2Fk%2FANeV4tRLaogFl9AyjaBUsdYBVngmJbzKJnZFDoIm%2BmGYE%2FBKE7KeriDT8BGazUnYn0S2Cnqs9fqGerCzEqnYKEOi5l%2BmboDIfm5dQReXgMimSTjBESVGlL%2FsX69Hssh&checksum=164256655619aeda62f0c3c44a7fa2a68ef846d06251,62.99,5,430,57,0,1,0,0,1,0,0,53,43,53
4,,Mini Wireless Keyboard And Mouse Set Waterproof 2.4G For Mac Apple PC Computer,https://www.ebay.com/itm/Mini-Wireless-Keyboard-And-Mouse-Set-Waterproof-2-4G-For-Mac-Apple-PC-Computer/193255636640?_trkparms=ispr%3D1&hash=item2cfeeefea0:g:TZ0AAOSwqvxd9CCL&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkfKe2vUidqHRg3XM2X2xOVOPvCFY5LK9FZCrOtlF1fL4mmrvY58HhOJvoiv5K0%2FDpTtILwDvM0XHbcMYxCjGxqxubarewkHz6vCpNJhpfx6wNrBM16%2BMQcxvKS%2BcG0o5y%2B%2FVYS3hiWHFuRQ%2FQIl46QNWtkdy%2BSLoBsjxCAso8u120eiCMFYM0kwh9oSm0QHxwmd3RroDrpyL0GcQRKRk8adOUJKV6oj3J55s2736bzTehqpo7CHcyn%2Fma%2BCZHW9EII8BP%2FICyGDWlCZMgPju2mhHH7jyRV%2FlcMfS2Tyej085iyz6r%2FsCQr5wdS0LMoEvuleEqHgQ%2Bq7SbAuhyG6P9uV2WDzkoDoQS%2BpAYeJ0HlRBUL8fz9BVYjaut8U466YoaBiovXTvQZUjXCsOmFFjmrwUuTz6jdrFiddS%2F7DVxE6%2F5wVXs43L1ZlrJZPCWa3IfcO7G7jEpqg%2FJrCCNMIVs35q9jjr26A%2FgmKQxPiWYkPBaFVM9T19VJJluebdsm125VQRgGaYXDJ32f42sHkjJmZJ40XRGGdtGB4777tLk0ALIuuW6NXsNYf8FdodXDdJex1pbXLOYozq7FObOYPIXzIYmfq08kJ2z71ygQ3gpaeZ4QeTmsMG0TVG4FWWG%2ByRaB6cNDDyPuWqfQzeQdUZFIjDuxaEfvFWKx4X7DyGqRmeFf8LJRG%2FSjx4i3X9VB7ZFDXfcNvG1ldAXuaWHkVUb1cL5n%2FHc34GazsxQ%2FG3flkig4JTuX7nIEK8Dfu8iXFpd&checksum=193255636640aeda62f0c3c44a7fa2a68ef846d06251,21.98,,0,0,0,1,0,0,0,0,0,1670,1646,1670
5,,Computer Desktop Gaming Keyboard and Mouse Mechanical Feel Led Light Backlit ,https://www.ebay.com/itm/Computer-Desktop-Gaming-Keyboard-and-Mouse-Mechanical-Feel-Led-Light-Backlit/133211277330?hash=item1f0402c812:g:THMAAOSw7dNdv9VJ,28.52,,0,0,0,0,0,0,0,0,0,840,819,840
6,22031090242,HP USB Slim Keyboard,https://www.ebay.com/itm/HP-USB-Slim-Keyboard/164262458814?epid=22031090242&hash=item263ece35be:g:dvgAAOSwB7le9OQB,14.5,4.5,20,0,0,1,1,0,0,0,0,30,21,30
7,16030518455,Rosewill NEON K51 Hybrid Mechanical RGB Gaming Keyboard/Multicolor Backlit White,https://www.ebay.com/itm/Rosewill-NEON-K51-Hybrid-Mechanical-RGB-Gaming-Keyboard-Multicolor-Backlit-White/184326718245?epid=16030518455&hash=item2aeaba8325:g:V3QAAOSwSK5e5A5L,34.99,4.5,20,0,0,1,0,0,0,0,0,88,81,88
8,,Led Light Backlit Computer Desktop Gaming Wired Keyboard With Mouse Mechanical,https://www.ebay.com/itm/Led-Light-Backlit-Computer-Desktop-Gaming-Wired-Keyboard-With-Mouse-Mechanical/164239972692?hash=item263d771954:g:fIAAAOSwuDte2Z6J,24.99,,0,22,0,0,0,0,0,0,0,87,77,87
9,,Genuine Apple Aluminum Wired USB Slim Keyboard A1243,https://www.ebay.com/itm/Genuine-Apple-Aluminum-Wired-USB-Slim-Keyboard-A1243/383623089892?hash=item5951b7cee4:g:M7oAAOSwtTlfBfPX,24.99,,0,0,0,1,0,1,0,0,0,0,0,0
